"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Dec 10 01:54:39 GMT 2021","Fri Dec 10 01:56:36 GMT 2021","116691","","UI main tests - Deposit - ETH","","UI main tests - Deposit - ETH","As a User I can deposit ETH from Meta extension","As a User I can deposit ETH from Meta extension",""
"passed","Fri Dec 10 01:39:36 GMT 2021","Fri Dec 10 01:41:56 GMT 2021","139972","","UI tests - A user can swap and mint tokens","","UI tests - A user can swap and mint tokens","As a User I can Swap tokens - MGA - mETH","As a User I can Swap tokens - MGA - mETH",""
"passed","Fri Dec 10 01:54:08 GMT 2021","Fri Dec 10 01:54:33 GMT 2021","25019","","UI tests > Balances","","UI tests > Balances","As a User I can see the min value in UI","As a User I can see the min value in UI",""
"failed","Fri Dec 10 01:38:39 GMT 2021","Fri Dec 10 01:39:34 GMT 2021","54809","","UI tests - A user gets notified when error","","UI tests - A user gets notified when error","When user cancel a TX, User gets notified","When user cancel a TX, User gets notified",""
"passed","Fri Dec 10 01:44:12 GMT 2021","Fri Dec 10 01:47:44 GMT 2021","211911","","UI tests - A user can swap and mint tokens","","UI tests - A user can swap and mint tokens","As a User I can burn all liquidity MGA - mETH","As a User I can burn all liquidity MGA - mETH",""
"passed","Fri Dec 10 02:09:31 GMT 2021","Fri Dec 10 02:11:20 GMT 2021","108836","","Accuracy tests","","Accuracy tests","As a User I get the right values for Pool investment P[5000000000000000000, 100] - I-> 100000000000 -Expected - 0.000002","As a User I get the right values for Pool investment P[5000000000000000000, 100] - I-> 100000000000 -Expected - 0.000002",""
"passed","Fri Dec 10 02:06:29 GMT 2021","Fri Dec 10 02:08:17 GMT 2021","107996","","Accuracy tests:","","Accuracy tests:","As a User I get the right values for Pool removal P[2500000000000000000, 5000000000000000000] - I-> 1 -Expected - 0.025 , 0.05","As a User I get the right values for Pool removal P[2500000000000000000, 5000000000000000000] - I-> 1 -Expected - 0.025 , 0.05",""
"passed","Fri Dec 10 02:25:28 GMT 2021","Fri Dec 10 02:25:57 GMT 2021","28879","","UI tests: Infra","","UI tests: Infra","Validate that Frontend retrieves AssetInfo data","Validate that Frontend retrieves AssetInfo data",""
"passed","Fri Dec 10 01:47:44 GMT 2021","Fri Dec 10 01:50:39 GMT 2021","175290","","UI tests - A user can swap and mint tokens","","UI tests - A user can swap and mint tokens","As a User I can mint in more than one pool [ MGA - mETH ] [ MGA - newTokn ] and get invested values","As a User I can mint in more than one pool [ MGA - mETH ] [ MGA - newTokn ] and get invested values",""
"passed","Fri Dec 10 02:00:03 GMT 2021","Fri Dec 10 02:03:28 GMT 2021","204861","","UI tests - A user can use MAX:","","UI tests - A user can use MAX:","As a User I can mint All tokens newToken - newToken2","As a User I can mint All tokens newToken - newToken2",""
"skipped","Fri Dec 10 01:54:33 GMT 2021","Fri Dec 10 01:54:33 GMT 2021","0","","UI tests > Balances","","UI tests > Balances","As a User I can see the min/max when withdrawing","As a User I can see the min/max when withdrawing",""
"passed","Fri Dec 10 01:41:56 GMT 2021","Fri Dec 10 01:44:12 GMT 2021","136359","","UI tests - A user can swap and mint tokens","","UI tests - A user can swap and mint tokens","As a User I can mint some tokens MGA - mETH","As a User I can mint some tokens MGA - mETH",""
"failed","Fri Dec 10 01:36:48 GMT 2021","Fri Dec 10 01:37:43 GMT 2021","55413","","UI tests - A user gets notified when error","","UI tests - A user gets notified when error","When tx front - fails, User gets notified","When tx front - fails, User gets notified",""
"passed","Fri Dec 10 02:11:20 GMT 2021","Fri Dec 10 02:13:08 GMT 2021","108415","","Accuracy tests","","Accuracy tests","As a User I get the right values for Pool investment P[5000000000000000000, 5000000000000000000] - I-> 0.123 -Expected - 0.123","As a User I get the right values for Pool investment P[5000000000000000000, 5000000000000000000] - I-> 0.123 -Expected - 0.123",""
"passed","Fri Dec 10 02:13:08 GMT 2021","Fri Dec 10 02:15:03 GMT 2021","114147","","Accuracy tests","","Accuracy tests","As a User I get the right values for Pool investment P[2500000000000000000, 5000000000000000000] - I-> 0.100 -Expected - 0.200","As a User I get the right values for Pool investment P[2500000000000000000, 5000000000000000000] - I-> 0.100 -Expected - 0.200",""
"passed","Fri Dec 10 01:30:45 GMT 2021","Fri Dec 10 01:32:40 GMT 2021","115077","","UI tests - A user can see the new Modal","","UI tests - A user can see the new Modal","Modal contains currencies and amounts when Swapping","Modal contains currencies and amounts when Swapping",""
"failed","Fri Dec 10 02:17:48 GMT 2021","Fri Dec 10 02:23:56 GMT 2021","368166","","UI tests - Get Tokens from Faucet","","UI tests - Get Tokens from Faucet","As a User I can get test tokens from the faucet","As a User I can get test tokens from the faucet",""
"passed","Fri Dec 10 01:34:34 GMT 2021","Fri Dec 10 01:36:48 GMT 2021","134351","","UI tests - A user can see the new Modal","","UI tests - A user can see the new Modal","Modal is visible when burning liquidity","Modal is visible when burning liquidity",""
"passed","Fri Dec 10 01:53:44 GMT 2021","Fri Dec 10 01:54:08 GMT 2021","24225","","UI tests > Balances","","UI tests > Balances","As a User I can see the max possible value in UI","As a User I can see the max possible value in UI",""
"failed","Fri Dec 10 01:56:36 GMT 2021","Fri Dec 10 01:57:08 GMT 2021","31796","","UI main tests - Withdraw - ETH","","UI main tests - Withdraw - ETH","As a User I can Withdraw ETH from Meta extension","As a User I can Withdraw ETH from Meta extension",""
"passed","Fri Dec 10 01:32:40 GMT 2021","Fri Dec 10 01:34:34 GMT 2021","113907","","UI tests - A user can see the new Modal","","UI tests - A user can see the new Modal","Modal contains currencies and amounts when providing liquidity","Modal contains currencies and amounts when providing liquidity",""
"passed","Fri Dec 10 01:57:09 GMT 2021","Fri Dec 10 02:00:03 GMT 2021","173794","","UI tests - A user can use MAX:","","UI tests - A user can use MAX:","As a User I can Swap All MGA tokens -> newToken","As a User I can Swap All MGA tokens -> newToken",""
"failed","Fri Dec 10 02:16:55 GMT 2021","Fri Dec 10 02:17:44 GMT 2021","48602","","UI tests - A user can create a pool MGA - newToken","","UI tests - A user can create a pool MGA - newToken","As a User I can create a pool","As a User I can create a pool",""
"passed","Fri Dec 10 02:04:43 GMT 2021","Fri Dec 10 02:06:29 GMT 2021","105983","","Accuracy tests:","","Accuracy tests:","As a User I get the right values for Pool removal P[2499999999999999999, 5000000000000000000] - I-> 2 -Expected - 0.049 , 0.100","As a User I get the right values for Pool removal P[2499999999999999999, 5000000000000000000] - I-> 2 -Expected - 0.049 , 0.100",""
"failed","Fri Dec 10 01:37:43 GMT 2021","Fri Dec 10 01:38:39 GMT 2021","55915","","UI tests - A user gets notified when error","","UI tests - A user gets notified when error","When tx extrinsic - fails, User gets notified","When tx extrinsic - fails, User gets notified",""
"passed","Fri Dec 10 02:23:58 GMT 2021","Fri Dec 10 02:24:09 GMT 2021","11757","","UI tests - Extension management","","UI tests - Extension management","As a User I get infomed whenever is neccesary to install any extension","As a User I get infomed whenever is neccesary to install any extension",""
"passed","Fri Dec 10 02:25:25 GMT 2021","Fri Dec 10 02:25:28 GMT 2021","2870","","UI tests: Infra","","UI tests: Infra","Validate that Mangata Frontend up and running","Validate that Mangata Frontend up and running",""
"passed","Fri Dec 10 02:24:09 GMT 2021","Fri Dec 10 02:25:23 GMT 2021","74144","","UI tests - Extension management","","UI tests - Extension management","As a User I get feedback when extensions are installed and correctly setup","As a User I get feedback when extensions are installed and correctly setup",""
