"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 27 11:17:39 GMT 2021","Wed Oct 27 11:21:25 GMT 2021","226757","","UI tests - A user can see the new Modal","","UI tests - A user can see the new Modal","Modal contains currencies and amounts when Swapping","Modal contains currencies and amounts when Swapping",""
"passed","Wed Oct 27 10:51:12 GMT 2021","Wed Oct 27 10:56:13 GMT 2021","301317","","UI tests - A user can swap and mint tokens","","UI tests - A user can swap and mint tokens","As a User I can mint some tokens MGA - mETH","As a User I can mint some tokens MGA - mETH",""
"failed","Wed Oct 27 11:04:50 GMT 2021","Wed Oct 27 11:11:06 GMT 2021","375849","","UI main tests - Deposit - ETH","","UI main tests - Deposit - ETH","As a User I can deposit ETH from Meta extension","As a User I can deposit ETH from Meta extension",""
"passed","Wed Oct 27 10:45:59 GMT 2021","Wed Oct 27 10:51:12 GMT 2021","312938","","UI tests - A user can swap and mint tokens","","UI tests - A user can swap and mint tokens","As a User I can Swap tokens - MGA - mETH","As a User I can Swap tokens - MGA - mETH",""
"failed","Wed Oct 27 11:35:28 GMT 2021","Wed Oct 27 11:35:47 GMT 2021","18534","","Accuracy tests","","Accuracy tests","As a User I get the right values for Pool investment P[5000000000000000000, 5000000000000000000] - I-> 0.123 -Expected - 0.123","As a User I get the right values for Pool investment P[5000000000000000000, 5000000000000000000] - I-> 0.123 -Expected - 0.123",""
"passed","Wed Oct 27 10:56:13 GMT 2021","Wed Oct 27 11:01:36 GMT 2021","323382","","UI tests - A user can swap and mint tokens","","UI tests - A user can swap and mint tokens","As a User I can burn all liquidity MGA - mETH","As a User I can burn all liquidity MGA - mETH",""
"failed","Wed Oct 27 11:25:37 GMT 2021","Wed Oct 27 11:29:43 GMT 2021","245823","","UI tests - A user can see the new Modal","","UI tests - A user can see the new Modal","Modal is not visible when burning liquidity","Modal is not visible when burning liquidity",""
"passed","Wed Oct 27 11:48:02 GMT 2021","Wed Oct 27 11:48:54 GMT 2021","52073","","UI tests: Infra","","UI tests: Infra","Validate that Frontend retrieves AssetInfo data","Validate that Frontend retrieves AssetInfo data",""
"failed","Wed Oct 27 11:35:07 GMT 2021","Wed Oct 27 11:35:28 GMT 2021","20904","","Accuracy tests","","Accuracy tests","As a User I get the right values for Pool investment P[5000000000000000000, 100] - I-> 100000000000 -Expected - 0.000002","As a User I get the right values for Pool investment P[5000000000000000000, 100] - I-> 100000000000 -Expected - 0.000002",""
"failed","Wed Oct 27 11:32:22 GMT 2021","Wed Oct 27 11:32:41 GMT 2021","18847","","Accuracy tests:","","Accuracy tests:","As a User I get the right values for Pool removal P[2500000000000000000, 5000000000000000000] - I-> 1 -Expected - 0.025 , 0.05","As a User I get the right values for Pool removal P[2500000000000000000, 5000000000000000000] - I-> 1 -Expected - 0.025 , 0.05",""
"failed","Wed Oct 27 11:40:05 GMT 2021","Wed Oct 27 11:44:30 GMT 2021","264920","","UI tests - Get Tokens from Faucet","","UI tests - Get Tokens from Faucet","As a User I can get test tokens from the faucet","As a User I can get test tokens from the faucet",""
"failed","Wed Oct 27 11:11:06 GMT 2021","Wed Oct 27 11:17:37 GMT 2021","390672","","UI main tests - Withdraw - ETH","","UI main tests - Withdraw - ETH","As a User I can Withdraw ETH from Meta extension","As a User I can Withdraw ETH from Meta extension",""
"failed","Wed Oct 27 11:38:49 GMT 2021","Wed Oct 27 11:40:01 GMT 2021","71859","","UI tests - A user can create a pool MGA - newToken","","UI tests - A user can create a pool MGA - newToken","As a User I can create a pool","As a User I can create a pool",""
"failed","Wed Oct 27 11:21:25 GMT 2021","Wed Oct 27 11:25:37 GMT 2021","251846","","UI tests - A user can see the new Modal","","UI tests - A user can see the new Modal","Modal contains currencies and amounts when providing liquidity","Modal contains currencies and amounts when providing liquidity",""
"failed","Wed Oct 27 11:01:36 GMT 2021","Wed Oct 27 11:04:46 GMT 2021","190000","","UI tests - A user can swap and mint tokens","","UI tests - A user can swap and mint tokens","As a User I can mint in more than one pool [ MGA - mETH ] [ MGA - newTokn ] and get invested values","As a User I can mint in more than one pool [ MGA - mETH ] [ MGA - newTokn ] and get invested values",""
"passed","Wed Oct 27 11:47:58 GMT 2021","Wed Oct 27 11:48:02 GMT 2021","3795","","UI tests: Infra","","UI tests: Infra","Validate that Mangata Frontend up and running","Validate that Mangata Frontend up and running",""
"passed","Wed Oct 27 11:44:31 GMT 2021","Wed Oct 27 11:44:48 GMT 2021","16980","","UI tests - Extension management","","UI tests - Extension management","As a User I get infomed whenever is neccesary to install any extension","As a User I get infomed whenever is neccesary to install any extension",""
"failed","Wed Oct 27 11:32:02 GMT 2021","Wed Oct 27 11:32:22 GMT 2021","20142","","Accuracy tests:","","Accuracy tests:","As a User I get the right values for Pool removal P[2499999999999999999, 5000000000000000000] - I-> 2 -Expected - 0.049 , 0.100","As a User I get the right values for Pool removal P[2499999999999999999, 5000000000000000000] - I-> 2 -Expected - 0.049 , 0.100",""
"failed","Wed Oct 27 11:35:47 GMT 2021","Wed Oct 27 11:36:04 GMT 2021","16967","","Accuracy tests","","Accuracy tests","As a User I get the right values for Pool investment P[2500000000000000000, 5000000000000000000] - I-> 0.100 -Expected - 0.200","As a User I get the right values for Pool investment P[2500000000000000000, 5000000000000000000] - I-> 0.100 -Expected - 0.200",""
"passed","Wed Oct 27 11:44:48 GMT 2021","Wed Oct 27 11:47:57 GMT 2021","188229","","UI tests - Extension management","","UI tests - Extension management","As a User I get feedback when extensions are installed and correctly setup","As a User I get feedback when extensions are installed and correctly setup",""
