"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Dec 03 01:40:54 GMT 2021","Fri Dec 03 01:40:54 GMT 2021","223","","UI tests > Balances","","UI tests > Balances","As a User I can see the min value in UI","As a User I can see the min value in UI",""
"passed","Fri Dec 03 01:31:52 GMT 2021","Fri Dec 03 01:33:47 GMT 2021","114609","","UI tests - A user can see the new Modal","","UI tests - A user can see the new Modal","Modal contains currencies and amounts when providing liquidity","Modal contains currencies and amounts when providing liquidity",""
"failed","Fri Dec 03 02:05:07 GMT 2021","Fri Dec 03 02:06:08 GMT 2021","61008","","UI tests - A user can create a pool MGA - newToken","","UI tests - A user can create a pool MGA - newToken","As a User I can create a pool","As a User I can create a pool",""
"passed","Fri Dec 03 01:29:53 GMT 2021","Fri Dec 03 01:31:52 GMT 2021","119173","","UI tests - A user can see the new Modal","","UI tests - A user can see the new Modal","Modal contains currencies and amounts when Swapping","Modal contains currencies and amounts when Swapping",""
"passed","Fri Dec 03 01:53:50 GMT 2021","Fri Dec 03 01:55:36 GMT 2021","106352","","Accuracy tests:","","Accuracy tests:","As a User I get the right values for Pool removal P[2500000000000000000, 5000000000000000000] - I-> 1 -Expected - 0.025 , 0.05","As a User I get the right values for Pool removal P[2500000000000000000, 5000000000000000000] - I-> 1 -Expected - 0.025 , 0.05",""
"passed","Fri Dec 03 02:14:23 GMT 2021","Fri Dec 03 02:14:26 GMT 2021","2938","","UI tests: Infra","","UI tests: Infra","Validate that Mangata Frontend up and running","Validate that Mangata Frontend up and running",""
"failed","Fri Dec 03 01:43:06 GMT 2021","Fri Dec 03 01:43:38 GMT 2021","31982","","UI main tests - Withdraw - ETH","","UI main tests - Withdraw - ETH","As a User I can Withdraw ETH from Meta extension","As a User I can Withdraw ETH from Meta extension",""
"failed","Fri Dec 03 01:36:18 GMT 2021","Fri Dec 03 01:37:15 GMT 2021","56790","","UI tests - A user gets notified when error","","UI tests - A user gets notified when error","When tx front - fails, User gets notified","When tx front - fails, User gets notified",""
"passed","Fri Dec 03 02:12:53 GMT 2021","Fri Dec 03 02:13:05 GMT 2021","11788","","UI tests - Extension management","","UI tests - Extension management","As a User I get infomed whenever is neccesary to install any extension","As a User I get infomed whenever is neccesary to install any extension",""
"passed","Fri Dec 03 01:33:47 GMT 2021","Fri Dec 03 01:36:18 GMT 2021","151197","","UI tests - A user can see the new Modal","","UI tests - A user can see the new Modal","Modal is visible when burning liquidity","Modal is visible when burning liquidity",""
"passed","Fri Dec 03 01:43:40 GMT 2021","Fri Dec 03 01:46:52 GMT 2021","192001","","UI tests - A user can use MAX:","","UI tests - A user can use MAX:","As a User I can Swap All MGA tokens -> newToken","As a User I can Swap All MGA tokens -> newToken",""
"skipped","Fri Dec 03 01:40:54 GMT 2021","Fri Dec 03 01:40:54 GMT 2021","0","","UI tests > Balances","","UI tests > Balances","As a User I can see the min/max when withdrawing","As a User I can see the min/max when withdrawing",""
"passed","Fri Dec 03 02:13:05 GMT 2021","Fri Dec 03 02:14:22 GMT 2021","77201","","UI tests - Extension management","","UI tests - Extension management","As a User I get feedback when extensions are installed and correctly setup","As a User I get feedback when extensions are installed and correctly setup",""
"failed","Fri Dec 03 01:37:15 GMT 2021","Fri Dec 03 01:38:11 GMT 2021","55794","","UI tests - A user gets notified when error","","UI tests - A user gets notified when error","When tx extrinsic - fails, User gets notified","When tx extrinsic - fails, User gets notified",""
"failed","Fri Dec 03 01:38:11 GMT 2021","Fri Dec 03 01:39:16 GMT 2021","65841","","UI tests - A user gets notified when error","","UI tests - A user gets notified when error","When user cancel a TX, User gets notified","When user cancel a TX, User gets notified",""
"passed","Fri Dec 03 01:57:25 GMT 2021","Fri Dec 03 01:59:16 GMT 2021","111154","","Accuracy tests","","Accuracy tests","As a User I get the right values for Pool investment P[5000000000000000000, 100] - I-> 100000000000 -Expected - 0.000002","As a User I get the right values for Pool investment P[5000000000000000000, 100] - I-> 100000000000 -Expected - 0.000002",""
"passed","Fri Dec 03 02:01:22 GMT 2021","Fri Dec 03 02:03:11 GMT 2021","109067","","Accuracy tests","","Accuracy tests","As a User I get the right values for Pool investment P[2500000000000000000, 5000000000000000000] - I-> 0.100 -Expected - 0.200","As a User I get the right values for Pool investment P[2500000000000000000, 5000000000000000000] - I-> 0.100 -Expected - 0.200",""
"passed","Fri Dec 03 02:14:26 GMT 2021","Fri Dec 03 02:14:56 GMT 2021","29980","","UI tests: Infra","","UI tests: Infra","Validate that Frontend retrieves AssetInfo data","Validate that Frontend retrieves AssetInfo data",""
