"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Sep 27 14:20:33 GMT 2022","Tue Sep 27 14:20:33 GMT 2022","27","","test/ci/xyk-ci.validate.assetInfo.test.ts","","test/ci/xyk-ci.validate.assetInfo.test.ts","xyk-CI - AssetInfo contains assets for MGA, mKSM, mBTC and mUSD","xyk-CI - AssetInfo contains assets for MGA, mKSM, mBTC and mUSD",""
"failed","Tue Sep 27 14:20:33 GMT 2022","Tue Sep 27 14:20:34 GMT 2022","730","","test/ci/xyk-ci.validate.assetInfo.test.ts","","test/ci/xyk-ci.validate.assetInfo.test.ts","xyk-CI - Check pools for MGA-mKSM, MGA-mBTC and MGA-mUSD","xyk-CI - Check pools for MGA-mKSM, MGA-mBTC and MGA-mUSD",""
"failed","Tue Sep 27 14:20:36 GMT 2022","Tue Sep 27 14:20:37 GMT 2022","265","","test/ci/xyk-ci.validate.setup.test.ts","","test/ci/xyk-ci.validate.setup.test.ts","xyk-CI - validate pools created: Pool[0,4]","xyk-CI - validate pools created: Pool[0,4]",""
"passed","Tue Sep 27 14:20:37 GMT 2022","Tue Sep 27 14:20:37 GMT 2022","261","","test/ci/xyk-ci.validate.setup.test.ts","","test/ci/xyk-ci.validate.setup.test.ts","xyk-CI - validate pools created: Pool[0,5]","xyk-CI - validate pools created: Pool[0,5]",""
"passed","Tue Sep 27 14:20:39 GMT 2022","Tue Sep 27 14:20:48 GMT 2022","8243","","test/ci/xyk-ci.validate.node.test.ts","","test/ci/xyk-ci.validate.node.test.ts","xyk-CI - Node is up and running","xyk-CI - Node is up and running",""
"skipped","Tue Sep 27 14:20:37 GMT 2022","Tue Sep 27 14:20:37 GMT 2022","0","","test/ci/xyk-ci.validate.setup.test.ts","","test/ci/xyk-ci.validate.setup.test.ts","TODO: Fix me - xyk-CI - validate user got the right Assets","TODO: Fix me - xyk-CI - validate user got the right Assets",""
