"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Dec 27 02:29:30 GMT 2021","Mon Dec 27 02:35:49 GMT 2021","379093","","UI tests - Get Tokens from Faucet","","UI tests - Get Tokens from Faucet","As a User I can get test tokens from the faucet","As a User I can get test tokens from the faucet",""
"passed","Mon Dec 27 01:49:32 GMT 2021","Mon Dec 27 01:52:02 GMT 2021","149948","","UI tests - A user can swap and mint tokens","","UI tests - A user can swap and mint tokens","As a User I can Swap tokens - MGA - mETH","As a User I can Swap tokens - MGA - mETH",""
"passed","Mon Dec 27 02:03:38 GMT 2021","Mon Dec 27 02:04:11 GMT 2021","33226","","UI tests > Balances","","UI tests > Balances","As a User I can see the max possible value in UI","As a User I can see the max possible value in UI",""
"passed","Mon Dec 27 01:41:59 GMT 2021","Mon Dec 27 01:44:05 GMT 2021","125686","","UI tests - A user can see the new Modal","","UI tests - A user can see the new Modal","Modal contains currencies and amounts when providing liquidity","Modal contains currencies and amounts when providing liquidity",""
"skipped","Mon Dec 27 02:04:43 GMT 2021","Mon Dec 27 02:04:43 GMT 2021","0","","UI tests > Balances","","UI tests > Balances","As a User I can see the min/max when withdrawing","As a User I can see the min/max when withdrawing",""
"failed","Mon Dec 27 01:47:30 GMT 2021","Mon Dec 27 01:48:30 GMT 2021","60623","","UI tests - A user gets notified when error","","UI tests - A user gets notified when error","When tx extrinsic - fails, User gets notified","When tx extrinsic - fails, User gets notified",""
"failed","Mon Dec 27 02:24:34 GMT 2021","Mon Dec 27 02:26:28 GMT 2021","113720","","Accuracy tests","","Accuracy tests","As a User I get the right values for Pool investment P[2500000000000000000, 5000000000000000000] - I-> 0.100 -Expected - 0.200","As a User I get the right values for Pool investment P[2500000000000000000, 5000000000000000000] - I-> 0.100 -Expected - 0.200",""
"failed","Mon Dec 27 02:14:49 GMT 2021","Mon Dec 27 02:17:08 GMT 2021","138589","","Accuracy tests:","","Accuracy tests:","As a User I get the right values for Pool removal P[2499999999999999999, 5000000000000000000] - I-> 2 -Expected - 0.049 , 0.100","As a User I get the right values for Pool removal P[2499999999999999999, 5000000000000000000] - I-> 2 -Expected - 0.049 , 0.100",""
"failed","Mon Dec 27 02:28:25 GMT 2021","Mon Dec 27 02:29:26 GMT 2021","60523","","UI tests - A user can create a pool MGA - newToken","","UI tests - A user can create a pool MGA - newToken","As a User I can create a pool","As a User I can create a pool",""
"failed","Mon Dec 27 01:57:20 GMT 2021","Mon Dec 27 02:00:27 GMT 2021","187055","","UI tests - A user can swap and mint tokens","","UI tests - A user can swap and mint tokens","As a User I can mint in more than one pool [ MGA - mETH ] [ MGA - newTokn ] and get invested values","As a User I can mint in more than one pool [ MGA - mETH ] [ MGA - newTokn ] and get invested values",""
"failed","Mon Dec 27 01:46:30 GMT 2021","Mon Dec 27 01:47:30 GMT 2021","59793","","UI tests - A user gets notified when error","","UI tests - A user gets notified when error","When tx front - fails, User gets notified","When tx front - fails, User gets notified",""
"passed","Mon Dec 27 01:52:02 GMT 2021","Mon Dec 27 01:54:30 GMT 2021","148323","","UI tests - A user can swap and mint tokens","","UI tests - A user can swap and mint tokens","As a User I can mint some tokens MGA - mETH","As a User I can mint some tokens MGA - mETH",""
"failed","Mon Dec 27 02:17:08 GMT 2021","Mon Dec 27 02:19:25 GMT 2021","137359","","Accuracy tests:","","Accuracy tests:","As a User I get the right values for Pool removal P[2500000000000000000, 5000000000000000000] - I-> 1 -Expected - 0.025 , 0.05","As a User I get the right values for Pool removal P[2500000000000000000, 5000000000000000000] - I-> 1 -Expected - 0.025 , 0.05",""
"failed","Mon Dec 27 02:04:50 GMT 2021","Mon Dec 27 02:06:59 GMT 2021","129508","","UI main tests - Deposit - ETH","","UI main tests - Deposit - ETH","As a User I can deposit ETH from Meta extension","As a User I can deposit ETH from Meta extension",""
"passed","Mon Dec 27 02:04:11 GMT 2021","Mon Dec 27 02:04:43 GMT 2021","32529","","UI tests > Balances","","UI tests > Balances","As a User I can see the min value in UI","As a User I can see the min value in UI",""
"passed","Mon Dec 27 02:36:05 GMT 2021","Mon Dec 27 02:37:30 GMT 2021","85275","","UI tests - Extension management","","UI tests - Extension management","As a User I get feedback when extensions are installed and correctly setup","As a User I get feedback when extensions are installed and correctly setup",""
"passed","Mon Dec 27 01:44:05 GMT 2021","Mon Dec 27 01:46:30 GMT 2021","144990","","UI tests - A user can see the new Modal","","UI tests - A user can see the new Modal","Modal is visible when burning liquidity","Modal is visible when burning liquidity",""
"failed","Mon Dec 27 02:07:32 GMT 2021","Mon Dec 27 02:10:17 GMT 2021","164357","","UI tests - A user can use MAX:","","UI tests - A user can use MAX:","As a User I can Swap All MGA tokens -> newToken","As a User I can Swap All MGA tokens -> newToken",""
"passed","Mon Dec 27 01:54:30 GMT 2021","Mon Dec 27 01:57:20 GMT 2021","169926","","UI tests - A user can swap and mint tokens","","UI tests - A user can swap and mint tokens","As a User I can burn all liquidity MGA - mETH","As a User I can burn all liquidity MGA - mETH",""
"passed","Mon Dec 27 02:37:31 GMT 2021","Mon Dec 27 02:37:34 GMT 2021","2897","","UI tests: Infra","","UI tests: Infra","Validate that Mangata Frontend up and running","Validate that Mangata Frontend up and running",""
"failed","Mon Dec 27 02:20:44 GMT 2021","Mon Dec 27 02:22:40 GMT 2021","116594","","Accuracy tests","","Accuracy tests","As a User I get the right values for Pool investment P[5000000000000000000, 100] - I-> 100000000000 -Expected - 0.000002","As a User I get the right values for Pool investment P[5000000000000000000, 100] - I-> 100000000000 -Expected - 0.000002",""
"failed","Mon Dec 27 02:22:40 GMT 2021","Mon Dec 27 02:24:34 GMT 2021","113821","","Accuracy tests","","Accuracy tests","As a User I get the right values for Pool investment P[5000000000000000000, 5000000000000000000] - I-> 0.123 -Expected - 0.123","As a User I get the right values for Pool investment P[5000000000000000000, 5000000000000000000] - I-> 0.123 -Expected - 0.123",""
"passed","Mon Dec 27 01:39:53 GMT 2021","Mon Dec 27 01:41:59 GMT 2021","126430","","UI tests - A user can see the new Modal","","UI tests - A user can see the new Modal","Modal contains currencies and amounts when Swapping","Modal contains currencies and amounts when Swapping",""
"failed","Mon Dec 27 02:06:59 GMT 2021","Mon Dec 27 02:07:31 GMT 2021","31462","","UI main tests - Withdraw - ETH","","UI main tests - Withdraw - ETH","As a User I can Withdraw ETH from Meta extension","As a User I can Withdraw ETH from Meta extension",""
"passed","Mon Dec 27 02:37:34 GMT 2021","Mon Dec 27 02:38:23 GMT 2021","48583","","UI tests: Infra","","UI tests: Infra","Validate that Frontend retrieves AssetInfo data","Validate that Frontend retrieves AssetInfo data",""
"failed","Mon Dec 27 01:48:30 GMT 2021","Mon Dec 27 01:49:30 GMT 2021","59892","","UI tests - A user gets notified when error","","UI tests - A user gets notified when error","When user cancel a TX, User gets notified","When user cancel a TX, User gets notified",""
"passed","Mon Dec 27 02:35:50 GMT 2021","Mon Dec 27 02:36:05 GMT 2021","14294","","UI tests - Extension management","","UI tests - Extension management","As a User I get infomed whenever is neccesary to install any extension","As a User I get infomed whenever is neccesary to install any extension",""
"failed","Mon Dec 27 02:10:17 GMT 2021","Mon Dec 27 02:13:28 GMT 2021","191058","","UI tests - A user can use MAX:","","UI tests - A user can use MAX:","As a User I can mint All tokens newToken - newToken2","As a User I can mint All tokens newToken - newToken2",""
