"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Dec 22 01:41:25 GMT 2021","Wed Dec 22 01:42:25 GMT 2021","60121","","UI tests - A user gets notified when error","","UI tests - A user gets notified when error","When tx extrinsic - fails, User gets notified","When tx extrinsic - fails, User gets notified",""
"failed","Wed Dec 22 01:51:08 GMT 2021","Wed Dec 22 01:54:12 GMT 2021","183757","","UI tests - A user can swap and mint tokens","","UI tests - A user can swap and mint tokens","As a User I can mint in more than one pool [ MGA - mETH ] [ MGA - newTokn ] and get invested values","As a User I can mint in more than one pool [ MGA - mETH ] [ MGA - newTokn ] and get invested values",""
"skipped","Wed Dec 22 01:58:18 GMT 2021","Wed Dec 22 01:58:18 GMT 2021","0","","UI tests > Balances","","UI tests > Balances","As a User I can see the min/max when withdrawing","As a User I can see the min/max when withdrawing",""
"failed","Wed Dec 22 02:00:30 GMT 2021","Wed Dec 22 02:01:02 GMT 2021","31632","","UI main tests - Withdraw - ETH","","UI main tests - Withdraw - ETH","As a User I can Withdraw ETH from Meta extension","As a User I can Withdraw ETH from Meta extension",""
"passed","Wed Dec 22 02:30:38 GMT 2021","Wed Dec 22 02:30:41 GMT 2021","2765","","UI tests: Infra","","UI tests: Infra","Validate that Mangata Frontend up and running","Validate that Mangata Frontend up and running",""
"failed","Wed Dec 22 02:10:24 GMT 2021","Wed Dec 22 02:12:42 GMT 2021","138099","","Accuracy tests:","","Accuracy tests:","As a User I get the right values for Pool removal P[2500000000000000000, 5000000000000000000] - I-> 1 -Expected - 0.025 , 0.05","As a User I get the right values for Pool removal P[2500000000000000000, 5000000000000000000] - I-> 1 -Expected - 0.025 , 0.05",""
"failed","Wed Dec 22 02:21:43 GMT 2021","Wed Dec 22 02:22:38 GMT 2021","55324","","UI tests - A user can create a pool MGA - newToken","","UI tests - A user can create a pool MGA - newToken","As a User I can create a pool","As a User I can create a pool",""
"failed","Wed Dec 22 01:40:24 GMT 2021","Wed Dec 22 01:41:25 GMT 2021","60705","","UI tests - A user gets notified when error","","UI tests - A user gets notified when error","When tx front - fails, User gets notified","When tx front - fails, User gets notified",""
"failed","Wed Dec 22 02:16:00 GMT 2021","Wed Dec 22 02:17:55 GMT 2021","114808","","Accuracy tests","","Accuracy tests","As a User I get the right values for Pool investment P[5000000000000000000, 5000000000000000000] - I-> 0.123 -Expected - 0.123","As a User I get the right values for Pool investment P[5000000000000000000, 5000000000000000000] - I-> 0.123 -Expected - 0.123",""
"passed","Wed Dec 22 01:45:56 GMT 2021","Wed Dec 22 01:48:24 GMT 2021","148381","","UI tests - A user can swap and mint tokens","","UI tests - A user can swap and mint tokens","As a User I can mint some tokens MGA - mETH","As a User I can mint some tokens MGA - mETH",""
"passed","Wed Dec 22 01:43:26 GMT 2021","Wed Dec 22 01:45:56 GMT 2021","149692","","UI tests - A user can swap and mint tokens","","UI tests - A user can swap and mint tokens","As a User I can Swap tokens - MGA - mETH","As a User I can Swap tokens - MGA - mETH",""
"passed","Wed Dec 22 01:35:56 GMT 2021","Wed Dec 22 01:37:55 GMT 2021","118942","","UI tests - A user can see the new Modal","","UI tests - A user can see the new Modal","Modal contains currencies and amounts when providing liquidity","Modal contains currencies and amounts when providing liquidity",""
"failed","Wed Dec 22 01:58:24 GMT 2021","Wed Dec 22 02:00:30 GMT 2021","125684","","UI main tests - Deposit - ETH","","UI main tests - Deposit - ETH","As a User I can deposit ETH from Meta extension","As a User I can deposit ETH from Meta extension",""
"failed","Wed Dec 22 02:01:03 GMT 2021","Wed Dec 22 02:03:38 GMT 2021","154374","","UI tests - A user can use MAX:","","UI tests - A user can use MAX:","As a User I can Swap All MGA tokens -> newToken","As a User I can Swap All MGA tokens -> newToken",""
"passed","Wed Dec 22 01:37:55 GMT 2021","Wed Dec 22 01:40:24 GMT 2021","148578","","UI tests - A user can see the new Modal","","UI tests - A user can see the new Modal","Modal is visible when burning liquidity","Modal is visible when burning liquidity",""
"passed","Wed Dec 22 02:29:14 GMT 2021","Wed Dec 22 02:30:37 GMT 2021","82694","","UI tests - Extension management","","UI tests - Extension management","As a User I get feedback when extensions are installed and correctly setup","As a User I get feedback when extensions are installed and correctly setup",""
"failed","Wed Dec 22 02:14:01 GMT 2021","Wed Dec 22 02:16:00 GMT 2021","119141","","Accuracy tests","","Accuracy tests","As a User I get the right values for Pool investment P[5000000000000000000, 100] - I-> 100000000000 -Expected - 0.000002","As a User I get the right values for Pool investment P[5000000000000000000, 100] - I-> 100000000000 -Expected - 0.000002",""
"failed","Wed Dec 22 02:22:42 GMT 2021","Wed Dec 22 02:28:58 GMT 2021","376238","","UI tests - Get Tokens from Faucet","","UI tests - Get Tokens from Faucet","As a User I can get test tokens from the faucet","As a User I can get test tokens from the faucet",""
"passed","Wed Dec 22 02:28:59 GMT 2021","Wed Dec 22 02:29:14 GMT 2021","14499","","UI tests - Extension management","","UI tests - Extension management","As a User I get infomed whenever is neccesary to install any extension","As a User I get infomed whenever is neccesary to install any extension",""
"failed","Wed Dec 22 02:17:55 GMT 2021","Wed Dec 22 02:19:48 GMT 2021","112943","","Accuracy tests","","Accuracy tests","As a User I get the right values for Pool investment P[2500000000000000000, 5000000000000000000] - I-> 0.100 -Expected - 0.200","As a User I get the right values for Pool investment P[2500000000000000000, 5000000000000000000] - I-> 0.100 -Expected - 0.200",""
"passed","Wed Dec 22 01:33:53 GMT 2021","Wed Dec 22 01:35:56 GMT 2021","123585","","UI tests - A user can see the new Modal","","UI tests - A user can see the new Modal","Modal contains currencies and amounts when Swapping","Modal contains currencies and amounts when Swapping",""
"passed","Wed Dec 22 01:57:49 GMT 2021","Wed Dec 22 01:58:18 GMT 2021","28844","","UI tests > Balances","","UI tests > Balances","As a User I can see the min value in UI","As a User I can see the min value in UI",""
"failed","Wed Dec 22 02:03:38 GMT 2021","Wed Dec 22 02:06:48 GMT 2021","190220","","UI tests - A user can use MAX:","","UI tests - A user can use MAX:","As a User I can mint All tokens newToken - newToken2","As a User I can mint All tokens newToken - newToken2",""
"passed","Wed Dec 22 01:48:24 GMT 2021","Wed Dec 22 01:51:08 GMT 2021","163856","","UI tests - A user can swap and mint tokens","","UI tests - A user can swap and mint tokens","As a User I can burn all liquidity MGA - mETH","As a User I can burn all liquidity MGA - mETH",""
"passed","Wed Dec 22 01:57:19 GMT 2021","Wed Dec 22 01:57:49 GMT 2021","29846","","UI tests > Balances","","UI tests > Balances","As a User I can see the max possible value in UI","As a User I can see the max possible value in UI",""
"failed","Wed Dec 22 02:08:08 GMT 2021","Wed Dec 22 02:10:24 GMT 2021","136042","","Accuracy tests:","","Accuracy tests:","As a User I get the right values for Pool removal P[2499999999999999999, 5000000000000000000] - I-> 2 -Expected - 0.049 , 0.100","As a User I get the right values for Pool removal P[2499999999999999999, 5000000000000000000] - I-> 2 -Expected - 0.049 , 0.100",""
"failed","Wed Dec 22 01:42:25 GMT 2021","Wed Dec 22 01:43:24 GMT 2021","59647","","UI tests - A user gets notified when error","","UI tests - A user gets notified when error","When user cancel a TX, User gets notified","When user cancel a TX, User gets notified",""
"passed","Wed Dec 22 02:30:41 GMT 2021","Wed Dec 22 02:31:16 GMT 2021","35560","","UI tests: Infra","","UI tests: Infra","Validate that Frontend retrieves AssetInfo data","Validate that Frontend retrieves AssetInfo data",""
